ID	Title	URL	Topic	Year	Instructor	Venue
1	NLP Resources	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/133.pptx	1065	2018	Dragomir Radev	Yale
2	Syntax-based Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/455.pptx	1147	2018	Dragomir Radev	Yale
3	Generative and Discriminative Models 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/513.pptx	1155	2018	Dragomir Radev	Yale
4	Tools for Deep Learning	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/731.pptx	1189	2018	Dragomir Radev	Yale
5	Python Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/131.pptx	1063	2018	Dragomir Radev	Yale
6	Social Network Extraction	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/976.pptx	1546	2018	Dragomir Radev	Yale
7	Inference	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/364.pptx	1217	2018	Dragomir Radev	Yale
8	Clustering 1	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/571.pptx	1167	2018	Dragomir Radev	Yale
9	Prepositional Phrase Attachment 2	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/283.pptx	1536	2018	Dragomir Radev	Yale
10	Long Short Term Memory Networks	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/742.pptx	1191	2018	Dragomir Radev	Yale
11	Class Logistics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/111.pptx	1580	2018	Dragomir Radev	Yale
12	Smoothing and Interpolation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/212.pptx	1082	2018	Dragomir Radev	Yale
13	Wordnet	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/315.pptx	1112	2018	Dragomir Radev	Yale
14	Question Answering Basics	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/411.pptx	1125	2018	Dragomir Radev	Yale
15	Examples of Text Classification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/542.pptx	1162	2018	Dragomir Radev	Yale
16	Features and Unification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/262.pptx	1102	2018	Dragomir Radev	Yale
17	Morphology and Semantics in Machine Translation	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/457.pptx	1149	2018	Dragomir Radev	Yale
18	Sentence Simplification	http://www.cs.yale.edu/homes/radev/nlpclass/slides2018/426.pptx	1134	2018	Dragomir Radev	Yale
