ID	Title	URL	TOPIC_NUM	Year	Instructor	Venue	
1	Introduction	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture1_intro.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
2	CSPs: Arc Consistency and Domain Splitting	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture10_CSPs_arc_consistency.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
3	CSPs: Domain Splitting and Local Search	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture11_domain_splitting_local_search.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
4	CSPs: Stochastic Local Search	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture12_SLS.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
5	CSPs: Stochastic Local Search Variants	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture13_SLS_variants.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
6	Planning: Representation and Forward Search	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture14_planning_intro.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
7	Planning: Heuristics and CSP Planning	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture15_planning_CSP.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
8	Logics: Propositional and Propositional Definite Clause Logic: Syntax and Semantics	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture16_logic.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
9	Logics: Soundness, Completeness, and proofs	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture17_logic_bottom_up_proofs.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
10	Logics: Top-down proofs and Datalog	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture18_logic_top_down_DL.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
11	Reasoning under Uncertainty: Introduction to Probability	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture19_uncertainty_probability_intro.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
12	Representational Dimensions and AI Applications	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture2_representational_dimensions.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
13	Uncertainty: Inference by Enumeration and Independence	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture20_uncertainty_independence_bayes_net.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
14	Uncertainty: Belief Networks and Introduction to VE	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture21_uncertainty_bayes_net.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
15	Uncertainty: Variable Elimination Algorithm	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture22_uncertainty_VE.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
16	Uncertainty: Markov Models and Hidden Markov Models	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture23_uncertainty_MM_HMM.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
17	Decision Theory: Introduction to Decision Networks	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture24_decision_theory_intro.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
18	Search: Introduction	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture3_search_intro.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
19	Uninformed Search	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture4_uninformed_search.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
20	Search: Iterative Deepening, Search with Costs, Heuristic Search	https://github.com/kvarada/CPSC-322_students/blob/master/lectures_102/lecture5_IDS_LCFS_heuristic.pdf	1007.0	2019	Varada Kolhatkar	University of British Columbia	
